,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
655,Other,PctGlacLakeCrsWs,-0.0635897127817774,-0.0635897127817774,0.6478033876388776,0.6478033876388776
656,Protein,PctGlacLakeCrsWs,0.09412369299549424,0.09412369299549424,0.4984147056520024,0.4984147056520024
657,Tannin,PctGlacLakeCrsWs,0.2359963864119331,0.2359963864119331,0.08579788554742449,0.08579788554742449
658,UnsatHC,PctGlacLakeCrsWs,-0.06608724513346771,-0.06608724513346771,0.6349321698808469,0.6349321698808469
659,SumAllCompounds,PctGlacLakeCrsWs,0.2110742888708143,0.2110742888708143,0.1254981458288923,0.1254981458288923
660,AminoSugar,PctGlacLakeFineWs,0.10120457033058049,0.10120457033058049,0.46650970903861866,0.46650970903861866
661,Carb,PctGlacLakeFineWs,0.061998003544935704,0.061998003544935704,0.6560603409716184,0.6560603409716184
662,ConcHC,PctGlacLakeFineWs,0.2132285355250514,0.2132285355250514,0.12159741752704381,0.12159741752704381
663,Lignin,PctGlacLakeFineWs,0.08672143816368093,0.08672143816368093,0.5329330875872527,0.5329330875872527
664,Lipid,PctGlacLakeFineWs,0.0013042111248929462,0.0013042111248929462,0.9925321488641166,0.9925321488641166
665,Other,PctGlacLakeFineWs,-0.03028081994958791,-0.03028081994958791,0.8279271753533888,0.8279271753533888
666,Protein,PctGlacLakeFineWs,0.055019860149744526,0.055019860149744526,0.6927315442247355,0.6927315442247355
667,Tannin,PctGlacLakeFineWs,0.1875558631807543,0.1875558631807543,0.1744363804956532,0.1744363804956532
668,UnsatHC,PctGlacLakeFineWs,-0.04871442244940932,-0.04871442244940932,0.7264827979661322,0.7264827979661322
669,SumAllCompounds,PctGlacLakeFineWs,0.13560965167714165,0.13560965167714165,0.32820687464173176,0.32820687464173176
670,AminoSugar,PctGlacTilClayWs,0.2313068956229783,0.2313068956229783,0.09239700811399562,0.09239700811399562
671,Carb,PctGlacTilClayWs,0.2329692985960195,0.2329692985960195,0.09001382470847888,0.09001382470847888
672,ConcHC,PctGlacTilClayWs,-0.0564047762542208,-0.0564047762542208,0.6853944562482545,0.6853944562482545
673,Lignin,PctGlacTilClayWs,0.18721178534004346,0.18721178534004346,0.17524254834929032,0.17524254834929032
674,Lipid,PctGlacTilClayWs,0.2858780036934723,0.2858780036934723,0.036120962704219925,0.036120962704219925
675,Other,PctGlacTilClayWs,0.1433078051773734,0.1433078051773734,0.3012297638586647,0.3012297638586647
676,Protein,PctGlacTilClayWs,0.2527916002914436,0.2527916002914436,0.06514752395986087,0.06514752395986087
677,Tannin,PctGlacTilClayWs,-0.039847994412561,-0.039847994412561,0.77481401893679,0.77481401893679
678,UnsatHC,PctGlacTilClayWs,-0.13038169866700255,-0.13038169866700255,0.34736795821263783,0.34736795821263783
679,SumAllCompounds,PctGlacTilClayWs,0.15032445011703832,0.15032445011703832,0.277927573235622,0.277927573235622
680,AminoSugar,PctGlacTilCrsWs,-0.09940312983456029,-0.09940312983456029,0.4745206711022194,0.4745206711022194
